candidate_rank,source_trial_index,alpha,gamma,target_final_epsilon,risk_t1,risk_window,epsilon_decay,epsilon_min,stage1_objective_mean,stage1_total_reward_mean,objective_mean,objective_std,total_reward_mean,total_reward_std,late_order_fraction_mean,n_valid_replications,best_training_reward,best_training_episode,best_training_seed,best_evaluation_reward,best_evaluation_replication,best_evaluation_seed,q_table_size,candidate_dir,q_table_path
5,44,0.3945935135120859,0.5,0.1212902125188341,175.58348058818544,1440.0,0.9997890653343946,0.1212902125188341,-174.2,174.2,-206.16666666666666,340.1811974910383,206.16666666666666,340.1811974910383,0.44744133953228776,30,1376.0,3149,3361345,1223.0,26,338345,25,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc/stage2/candidate_rank_05_trial_044,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc/stage2/candidate_rank_05_trial_044/q_table.pkl
2,58,0.5,0.869733629040495,0.1175342207949011,192.67104794888385,1329.0391020224338,0.9997859203436213,0.1175342207949011,-192.2,192.2,-156.83333333333334,341.79920333771827,156.83333333333334,341.79920333771827,0.45630149368284906,30,1236.0,3149,3361345,883.0,26,338345,25,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc/stage2/candidate_rank_02_trial_058,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc/stage2/candidate_rank_02_trial_058/q_table.pkl
4,28,0.005,0.7741688971481255,0.005,0.0,546.1429964603417,0.9994703085993939,0.005,-178.2,178.2,-150.16666666666666,318.2741264071428,150.16666666666666,318.2741264071428,0.45749298408667116,30,1345.0,6436,6648345,983.0,26,338345,27,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc/stage2/candidate_rank_04_trial_028,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc/stage2/candidate_rank_04_trial_028/q_table.pkl
1,6,0.3283965655090287,0.5227766502834856,0.1121464873664081,186.9982387125492,904.479117281735,0.9997812289999302,0.1121464873664081,-286.2,286.2,-120.16666666666667,332.6525663286809,120.16666666666667,332.6525663286809,0.46290941738953606,30,1346.0,7830,8042345,1003.0,26,338345,25,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc/stage2/candidate_rank_01_trial_006,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc/stage2/candidate_rank_01_trial_006/q_table.pkl
3,12,0.43626096364342,0.5,0.0724401226713813,175.4210634849271,480.213655886347,0.9997375349547233,0.0724401226713813,-186.2,186.2,-84.83333333333333,338.9422780003875,84.83333333333333,338.9422780003875,0.46914468808635035,30,1336.0,3149,3361345,943.0,26,338345,26,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc/stage2/candidate_rank_03_trial_012,/cfs/earth/scratch/freyfab2/BA/BA-Simulation-Optimization/RL/rl_tuning_hpc/stage2/candidate_rank_03_trial_012/q_table.pkl
