stage,trial_index,final_config_rank,replication,eval_seed,objective_value,alpha,gamma,epsilon_decay,epsilon_min,risk_t1,risk_window,label,error,episode,baseline_rule,action_random_seed,q_table_size,best_total_reward_so_far,random_seed,run_duration,due_date_lower_bound,due_date_upper_bound,rate_multiplier,risk_t2,agent_type,training,fixed_action,msg,n_orders_created,n_orders_completed,n_orders_in_date,n_orders_late,late_order_fraction,time_in_system_mean,time_in_system_std,time_in_system_min,time_in_system_max,wip_mean,wip_max,total_reward,n_eval_failures,n_decision_points,action_0_count,action_1_count,action_2_count,action_3_count,epsilon,preparation_capacity,sorting_capacity,analysis1_capacity,analysis2_capacity,evaluation_capacity,dispatching_capacity,worker_capacity
stage1_bo,0,,0,312345,-508.0,0.24840857982635497,0.7594258129596709,0.9951314570248126,0.023754181638360024,-29.29695188999176,40.67402724176645,,,,,,,,312345,1440,4,8,0.9,11.377075351774693,q_learning,False,,simulation ended,487,271,166,105,0.3874538745387454,310.32177796081766,181.27106214830349,8.950989732365354,909.783566413669,109.3254777929539,217,508.0,34,350,218,13,117,2,0.023754181638360024,1,1,1,1,1,1,1
stage1_bo,0,,1,313345,-67.0,0.24840857982635497,0.7594258129596709,0.9951314570248126,0.023754181638360024,-29.29695188999176,40.67402724176645,,,,,,,,313345,1440,4,8,0.9,11.377075351774693,q_learning,False,,simulation ended,562,280,148,132,0.4714285714285714,335.3496518328184,194.15519054411095,11.817236253798981,1006.3077196225072,135.416784777984,282,67.0,31,357,169,22,97,69,0.023754181638360024,1,1,1,1,1,1,1
stage1_bo,0,,2,314345,313.0,0.24840857982635497,0.7594258129596709,0.9951314570248126,0.023754181638360024,-29.29695188999176,40.67402724176645,,,,,,,,314345,1440,4,8,0.9,11.377075351774693,q_learning,False,,simulation ended,561,276,127,149,0.5398550724637681,372.3348811585491,224.19463043424892,12.633594345573625,764.5931514355532,148.05837788147468,286,-313.0,31,359,25,21,22,291,0.023754181638360024,1,1,1,1,1,1,1
stage1_bo,0,,3,315345,-34.0,0.24840857982635497,0.7594258129596709,0.9951314570248126,0.023754181638360024,-29.29695188999176,40.67402724176645,,,,,,,,315345,1440,4,8,0.9,11.377075351774693,q_learning,False,,simulation ended,526,288,149,139,0.4826388888888889,333.7987183285483,200.64529910346826,11.067006805049784,728.0056661645403,124.84367175576061,239,34.0,22,359,53,35,3,268,0.023754181638360024,1,1,1,1,1,1,1
stage1_bo,0,,4,316345,289.0,0.24840857982635497,0.7594258129596709,0.9951314570248126,0.023754181638360024,-29.29695188999176,40.67402724176645,,,,,,,,316345,1440,4,8,0.9,11.377075351774693,q_learning,False,,simulation ended,584,281,131,150,0.5338078291814946,370.68245702484245,217.26714312843131,18.396518633717015,839.0497021594726,152.08948657422883,304,-289.0,33,357,115,28,103,111,0.023754181638360024,1,1,1,1,1,1,1
stage1_bo,0,,5,317345,-360.0,0.24840857982635497,0.7594258129596709,0.9951314570248126,0.023754181638360024,-29.29695188999176,40.67402724176645,,,,,,,,317345,1440,4,8,0.9,11.377075351774693,q_learning,False,,simulation ended,527,277,161,116,0.4187725631768953,334.1868208505045,199.49423020464616,10.790077922669727,1027.950301586407,126.39784038075321,251,360.0,30,352,47,94,208,3,0.023754181638360024,1,1,1,1,1,1,1
stage1_bo,0,,6,318345,-27.0,0.24840857982635497,0.7594258129596709,0.9951314570248126,0.023754181638360024,-29.29695188999176,40.67402724176645,,,,,,,,318345,1440,4,8,0.9,11.377075351774693,q_learning,False,,simulation ended,552,282,147,135,0.4787234042553192,347.829957342975,207.0858149784094,8.83969723567143,1170.0985459654946,130.76134924175673,271,27.0,31,360,85,68,199,8,0.023754181638360024,1,1,1,1,1,1,1
stage1_bo,0,,7,319345,-107.0,0.24840857982635497,0.7594258129596709,0.9951314570248126,0.023754181638360024,-29.29695188999176,40.67402724176645,,,,,,,,319345,1440,4,8,0.9,11.377075351774693,q_learning,False,,simulation ended,552,278,149,129,0.46402877697841727,339.91619582071985,200.3925171367358,11.613480675584368,964.8701965917235,132.63484639295993,274,107.0,31,357,45,18,287,7,0.023754181638360024,1,1,1,1,1,1,1
stage1_bo,0,,8,320345,-37.0,0.24840857982635497,0.7594258129596709,0.9951314570248126,0.023754181638360024,-29.29695188999176,40.67402724176645,,,,,,,,320345,1440,4,8,0.9,11.377075351774693,q_learning,False,,simulation ended,567,283,148,135,0.47703180212014135,362.440139093308,230.36147417748973,12.505778783697268,1046.779135933792,150.57266652830006,285,37.0,31,358,37,43,261,17,0.023754181638360024,1,1,1,1,1,1,1
stage1_bo,0,,9,321345,16.0,0.24840857982635497,0.7594258129596709,0.9951314570248126,0.023754181638360024,-29.29695188999176,40.67402724176645,,,,,,,,321345,1440,4,8,0.9,11.377075351774693,q_learning,False,,simulation ended,572,276,142,134,0.4855072463768116,349.6548011863231,209.772479744004,12.324706307787704,948.1399454287478,142.01650264372986,297,-16.0,32,354,35,32,269,18,0.023754181638360024,1,1,1,1,1,1,1
