method,run_index,trial_index,preparation_capacity,sorting_capacity,analysis1_capacity,analysis2_capacity,evaluation_capacity,dispatching_capacity,worker_capacity,objective_mean,objective_std,n_valid_replications,n_orders_completed_mean,n_orders_in_date_mean,n_orders_late_mean,n_orders_created_mean,n_orders_incomplete_mean,late_order_fraction_mean,time_in_system_mean_mean,time_in_system_std_mean,wip_time_in_system_mean_mean,wip_time_in_system_std_mean,wip_time_in_system_min_mean,wip_time_in_system_max_mean,wip_mean_mean,work_in_progress_mean_mean,completed_norm_mean,late_total_norm_mean,on_time_loss_norm_mean,station_capacity_norm_mean,worker_capacity_norm_mean,time_in_system_mean_norm_mean,time_in_system_std_norm_mean,objective_completed_contribution_mean,objective_late_contribution_mean,objective_station_capacity_contribution_mean,objective_worker_capacity_contribution_mean,objective_time_mean_contribution_mean,objective_time_std_contribution_mean,best_objective_so_far
bo,16,0,2,2,1,5,5,3,9,3.389560154053334,0.09778234413041226,30,371.23333333333335,148.46666666666667,222.76666666666668,990.9666666666667,619.7333333333333,0.6005485075185748,454.32197096203623,255.08600066441988,447.2589840466875,259.13100216800115,1.097834866351286,901.6018740330356,309.99834346689494,309.99834346689494,0.3753941310432172,0.8496803280092075,0.8496803280092075,0.5,0.888888888888889,1.2620054748945448,0.708572224067833,-0.3753941310432172,2.5490409840276227,0.40000000000000013,0.3111111111111111,0.504802189957818,0.0,3.389560154053334
bo,16,1,4,4,4,2,3,1,1,3.410611181061879,0.06710448431909125,30,235.83333333333334,87.96666666666667,147.86666666666667,999.4,763.5666666666667,0.566687229159708,461.675875774726,253.7237370789224,549.6323670100711,315.47923657276976,1.2730350612407089,1105.6027367396782,377.03852266780973,377.03852266780973,0.2374531638088001,0.9116970498551424,0.9116970498551424,0.5,0.0,1.282432988263128,0.7047881585525619,-0.2374531638088001,2.7350911495654273,0.40000000000000013,0.0,0.5129731953052512,0.0,3.389560154053334
bo,16,2,4,3,2,4,1,3,8,3.1555793328321666,0.5538006160710937,30,133.96666666666667,133.8,0.16666666666666666,1003.1666666666666,869.2,0.00031446540880503143,51.20211611235796,20.89994883941697,622.924853571649,360.83901806489814,1.5273628759968838,1253.4675132614163,394.78628278034466,394.78628278034466,0.13517620710990702,0.864991803642781,0.864991803642781,0.4583333333333334,0.777777777777778,0.14222810031210548,0.0580554134428249,-0.13517620710990702,2.5949754109283436,0.3666666666666668,0.2722222222222222,0.056891240124842195,0.0,3.1555793328321666
bo,16,3,2,4,5,2,4,5,4,-0.07684279972863177,0.7062665722893126,30,934.9666666666667,934.9666666666667,0.0,994.2333333333333,59.266666666666666,0.0,27.605979151729873,9.490702781480957,45.47193751401903,27.363181380999826,1.4792628049946037,99.28409105670086,34.26784442243289,34.26784442243289,0.9393790274743051,0.060620972525694886,0.06062097252569488,0.6666666666666669,0.3333333333333334,0.07668327542147188,0.026363063281891544,-0.9393790274743051,0.18186291757708462,0.5333333333333333,0.11666666666666667,0.03067331016858875,0.0,-0.07684279972863177
bo,16,4,2,2,3,1,3,4,6,1.9456355922215662,0.20719344188139013,30,629.5,415.1666666666667,214.33333333333334,1011.8333333333334,382.3333333333333,0.3409029413600271,277.7281762886474,152.12531409009824,273.3895123479564,157.81181637940028,1.565625892301288,547.6294744757969,194.33636824668764,194.33636824668764,0.622907826552965,0.5885040372623818,0.5885040372623818,0.375,0.5555555555555556,0.7714671563573536,0.42257031691693964,-0.622907826552965,1.7655121117871453,0.3000000000000001,0.1944444444444445,0.3085868625429415,0.0,-0.07684279972863177
bo,16,5,5,5,1,3,1,2,5,3.265280520059931,0.13567140593299173,30,146.9,105.66666666666667,41.233333333333334,994.5,847.6,0.16298828287359976,187.76338297234412,100.08797641263163,618.9756069514508,355.67992246991076,1.8557988873845337,1232.3699525054096,395.32157098806215,395.32157098806215,0.1475047465650132,0.8939790211074465,0.8939790211074465,0.4583333333333334,0.4444444444444445,0.5215649527009559,0.2780221567017546,-0.1475047465650132,2.681937063322339,0.3666666666666668,0.15555555555555556,0.20862598108038236,0.0,-0.07684279972863177
bo,16,6,4,1,5,3,2,2,9,3.544134061332049,0.06602199900958859,30,321.7,117.33333333333333,204.36666666666667,995.4333333333333,673.7333333333333,0.635295295975589,489.8469394115739,273.92871792089875,485.5595308614039,277.95707797069883,1.5151766088621343,967.210618287346,336.86016043984813,336.86016043984813,0.32354649930268137,0.8818761352443274,0.8818761352443273,0.4583333333333334,0.888888888888889,1.3606859428099276,0.76091310533583,-0.32354649930268137,2.645628405732982,0.3666666666666668,0.3111111111111111,0.544274377123971,0.0,-0.07684279972863177
bo,16,7,1,4,3,5,5,5,3,1.3966899382509637,0.23808384791450382,30,708.0666666666667,588.6666666666666,119.4,995.4333333333333,287.3666666666667,0.16861682633643113,219.30325857033566,113.64573835499534,208.37986447454156,120.97083030622417,1.716708038528168,418.19386228875885,149.7682056482052,149.7682056482052,0.7120381419964453,0.40687111616753063,0.40687111616753063,0.7083333333333331,0.22222222222222224,0.6091757182509324,0.31568260654165387,-0.7120381419964453,1.2206133485025916,0.5666666666666667,0.07777777777777778,0.243670287300373,0.0,-0.07684279972863177
bo,16,8,1,3,5,3,2,5,6,1.3488806915523672,0.20146415560443148,30,708.5333333333333,597.6333333333333,110.9,995.5,286.96666666666664,0.15653430579279304,213.6365589956827,112.52601445784353,206.51908562244742,118.38639885685743,1.0643451307340608,415.30906503712595,146.4617146576725,146.4617146576725,0.7121026038259103,0.39861052105361755,0.39861052105361755,0.5416666666666665,0.5555555555555556,0.5934348860991184,0.31257226238289865,-0.7121026038259103,1.1958315631608523,0.4333333333333334,0.1944444444444445,0.23737395443964746,0.0,-0.07684279972863177
bo,16,9,4,5,3,1,5,3,5,0.05942106003243373,0.11321253422625452,30,911.5,911.5,0.0,992.6,81.1,0.0,71.15297145731869,28.564936584781176,57.27966135450025,33.26756335152348,1.4936759124687493,123.5031657503908,48.55142144864651,48.55142144864651,0.9187983381744801,0.08120166182551992,0.08120166182551992,0.625,0.4444444444444445,0.19764714293699634,0.0793470460688366,-0.9187983381744801,0.2436049854765598,0.5,0.15555555555555556,0.07905885717479855,0.0,-0.07684279972863177
