replication,eval_seed,objective_value,q_table_size,alpha,gamma,epsilon_decay,epsilon_min,risk_t1,risk_window,label,error,episode,baseline_rule,action_random_seed,best_total_reward_so_far,random_seed,run_duration,due_date_lower_bound,due_date_upper_bound,rate_multiplier,risk_t2,agent_type,training,fixed_action,msg,n_orders_created,n_orders_completed,n_orders_in_date,n_orders_late,late_order_fraction,time_in_system_mean,time_in_system_std,time_in_system_min,time_in_system_max,wip_mean,wip_max,total_reward,n_eval_failures,n_decision_points,action_0_count,action_1_count,action_2_count,action_3_count,epsilon,preparation_capacity,sorting_capacity,analysis1_capacity,analysis2_capacity,evaluation_capacity,dispatching_capacity,worker_capacity
0,312345,-548.0,23,0.02,0.99,0.999,0.1,120.0,360.0,,,,,,,312345,1440.0,4,8,0.9,480.0,q_learning,False,,simulation ended,487,271,168,103,0.3800738007380074,312.5271245434538,185.02550794367215,8.950989732365354,909.783566413669,109.3254777929539,217,548.0,34,350,35,27,268,20,0.3676954247709635,1,1,1,1,1,1,1
1,313345,-67.0,23,0.02,0.99,0.999,0.1,120.0,360.0,,,,,,,313345,1440.0,4,8,0.9,480.0,q_learning,False,,simulation ended,562,280,148,132,0.4714285714285714,335.37554245579213,194.17560797964086,11.817236253798981,1006.3077196225072,135.416784777984,282,67.0,31,357,1,2,334,20,0.3676954247709635,1,1,1,1,1,1,1
2,314345,153.0,23,0.02,0.99,0.999,0.1,120.0,360.0,,,,,,,314345,1440.0,4,8,0.9,480.0,q_learning,False,,simulation ended,561,276,135,141,0.5108695652173914,365.6181235750872,219.43216488341167,9.596951401307663,759.0760898479389,148.05837788147468,286,-153.0,31,359,22,97,220,20,0.3676954247709635,1,1,1,1,1,1,1
3,315345,-254.0,23,0.02,0.99,0.999,0.1,120.0,360.0,,,,,,,315345,1440.0,4,8,0.9,480.0,q_learning,False,,simulation ended,526,288,160,128,0.4444444444444444,329.9593742322734,196.89431010857086,11.067006805049784,655.977419011903,124.84367175576061,239,254.0,22,359,3,0,235,121,0.3676954247709635,1,1,1,1,1,1,1
4,316345,129.0,23,0.02,0.99,0.999,0.1,120.0,360.0,,,,,,,316345,1440.0,4,8,0.9,480.0,q_learning,False,,simulation ended,584,281,139,142,0.505338078291815,361.0613292339444,209.91630434107975,18.396518633717015,1076.0385424784645,152.08948657422883,304,-129.0,33,357,67,5,261,24,0.3676954247709635,1,1,1,1,1,1,1
5,317345,-260.0,23,0.02,0.99,0.999,0.1,120.0,360.0,,,,,,,317345,1440.0,4,8,0.9,480.0,q_learning,False,,simulation ended,527,277,156,121,0.4368231046931408,334.46984139193387,199.08155357767365,10.790077922669727,980.875176431043,126.39784038075321,251,260.0,30,352,6,39,255,52,0.3676954247709635,1,1,1,1,1,1,1
6,318345,-7.0,23,0.02,0.99,0.999,0.1,120.0,360.0,,,,,,,318345,1440.0,4,8,0.9,480.0,q_learning,False,,simulation ended,552,282,146,136,0.48226950354609927,351.62759590327795,209.46443409240206,8.83969723567143,1021.2561041719118,130.76134924175673,271,7.0,31,360,15,52,268,25,0.3676954247709635,1,1,1,1,1,1,1
7,319345,133.0,23,0.02,0.99,0.999,0.1,120.0,360.0,,,,,,,319345,1440.0,4,8,0.9,480.0,q_learning,False,,simulation ended,552,278,137,141,0.5071942446043165,344.91585773078907,204.62524659385616,11.613480675584368,787.2219137876621,132.63484639295993,274,-133.0,31,357,27,123,164,43,0.3676954247709635,1,1,1,1,1,1,1
8,320345,-17.0,23,0.02,0.99,0.999,0.1,120.0,360.0,,,,,,,320345,1440.0,4,8,0.9,480.0,q_learning,False,,simulation ended,567,283,147,136,0.48056537102473496,365.72859182124785,234.1633058486551,12.505778783697268,1049.7333722938824,150.57266652830006,285,17.0,31,358,56,63,88,151,0.3676954247709635,1,1,1,1,1,1,1
9,321345,36.0,23,0.02,0.99,0.999,0.1,120.0,360.0,,,,,,,321345,1440.0,4,8,0.9,480.0,q_learning,False,,simulation ended,572,276,141,135,0.4891304347826087,351.78301976382267,212.65473635336824,12.324706307787704,1029.073430392697,142.01650264372986,297,-36.0,32,354,176,34,112,32,0.3676954247709635,1,1,1,1,1,1,1
