label,error,replication,eval_seed,episode,baseline_rule,action_random_seed,q_table_size,best_total_reward_so_far,random_seed,run_duration,due_date_lower_bound,due_date_upper_bound,rate_multiplier,risk_t1,risk_window,risk_t2,agent_type,training,fixed_action,msg,n_orders_created,n_orders_completed,n_orders_in_date,n_orders_late,late_order_fraction,time_in_system_mean,time_in_system_std,time_in_system_min,time_in_system_max,wip_mean,wip_max,total_reward,n_eval_failures,n_decision_points,action_0_count,action_1_count,action_2_count,action_3_count,epsilon,preparation_capacity,sorting_capacity,analysis1_capacity,analysis2_capacity,evaluation_capacity,dispatching_capacity,worker_capacity
,,,,17,,,18,-11644.0,229345,7200.0,4,8,0.9,0.0,120.0,120.0,q_learning,True,,simulation ended,2767,1423,153,1270,0.8924806746310612,1701.8713317702234,1011.0227182846312,26.0041916901638,4118.430990525729,666.4152847127359,1344,-11644.0,158,1800,471,418,472,439,0.918316468354365,1,1,1,1,1,1,1
,,,,18,,,18,-11195.0,230345,7200.0,4,8,0.9,0.0,120.0,120.0,q_learning,True,,simulation ended,2810,1414,169,1245,0.8804809052333805,1764.8238884915793,1047.3060679122987,13.228218142631192,4724.991308202494,695.8646925885809,1396,-11195.0,145,1792,464,453,445,430,0.9137248860125932,1,1,1,1,1,1,1
,,,,19,,,18,-11195.0,231345,7200.0,4,8,0.9,0.0,120.0,120.0,q_learning,True,,simulation ended,2784,1430,141,1289,0.9013986013986014,1712.87756835941,1017.8271234143596,11.251793673867851,4005.315764805551,683.1407054327581,1357,-11963.0,161,1782,454,454,442,432,0.9091562615825302,1,1,1,1,1,1,1
,,,,20,,,18,-11195.0,232345,7200.0,4,8,0.9,0.0,120.0,120.0,q_learning,True,,simulation ended,2703,1388,140,1248,0.899135446685879,1711.1903013873862,996.6412934153516,18.790375896693433,4518.736202459796,651.3160121849036,1316,-11608.0,176,1794,450,424,441,479,0.9046104802746175,1,1,1,1,1,1,1
,,,,21,,,18,-11195.0,233345,7200.0,4,8,0.9,0.0,120.0,120.0,q_learning,True,,simulation ended,2835,1420,135,1285,0.9049295774647887,1813.371226605065,1050.927667665198,11.784149506711213,4685.156637053102,713.8883338047368,1415,-12001.0,167,1788,442,493,425,428,0.9000874278732445,1,1,1,1,1,1,1
,,,,22,,,18,-11195.0,234345,7200.0,4,8,0.9,0.0,120.0,120.0,q_learning,True,,simulation ended,2819,1394,134,1260,0.9038737446197992,1744.4150900126374,1015.2185157631095,10.624825332576295,4586.0976410581325,700.7469189630488,1425,-11761.0,167,1794,476,418,458,442,0.8955869907338783,1,1,1,1,1,1,1
,,,,23,,,18,-11195.0,235345,7200.0,4,8,0.9,0.0,120.0,120.0,q_learning,True,,simulation ended,2714,1398,141,1257,0.8991416309012875,1814.267375751597,1083.9806874500855,9.734403671655716,4808.511863349169,689.5215803225274,1318,-11664.0,168,1806,471,444,457,434,0.8911090557802088,1,1,1,1,1,1,1
,,,,24,,,18,-11195.0,236345,7200.0,4,8,0.9,0.0,120.0,120.0,q_learning,True,,simulation ended,2780,1396,125,1271,0.910458452722063,1788.825462696974,1015.2435932035378,13.073141920717454,4055.8523109169887,696.9318848633914,1384,-12003.0,181,1794,427,448,452,467,0.8866535105013078,1,1,1,1,1,1,1
,,,,25,,,18,-11195.0,237345,7200.0,4,8,0.9,0.0,120.0,120.0,q_learning,True,,simulation ended,2872,1399,133,1266,0.9049320943531094,1837.7296307981317,1077.360749386526,11.301593935765213,4300.623291962709,738.700979031995,1473,-11813.0,161,1800,414,453,448,485,0.8822202429488013,1,1,1,1,1,1,1
,,,,26,,,18,-11195.0,238345,7200.0,4,8,0.9,0.0,120.0,120.0,q_learning,True,,simulation ended,2761,1406,163,1243,0.884068278805121,1703.6863920629312,1036.7773149324676,13.354091092211767,4132.627781162757,667.921254991091,1355,-11295.0,165,1800,465,417,470,448,0.8778091417340573,1,1,1,1,1,1,1
,,,,27,,,18,-11195.0,239345,7200.0,4,8,0.9,0.0,120.0,120.0,q_learning,True,,simulation ended,2773,1413,130,1283,0.9079971691436659,1758.4826145534585,973.0106662249159,12.931174323866184,4442.072966945299,670.3455674073747,1360,-12046.0,172,1798,451,454,441,452,0.8734200960253871,1,1,1,1,1,1,1
