replication,eval_seed,objective_value,q_table_size,alpha,gamma,target_final_epsilon,risk_t1,risk_window,epsilon_decay,epsilon_min,label,error,episode,baseline_rule,action_random_seed,best_total_reward_so_far,random_seed,run_duration,due_date_lower_bound,due_date_upper_bound,rate_multiplier,risk_t2,agent_type,training,fixed_action,msg,n_orders_created,n_orders_completed,n_orders_in_date,n_orders_late,late_order_fraction,time_in_system_mean,time_in_system_std,time_in_system_min,time_in_system_max,wip_mean,wip_max,total_reward,n_eval_failures,n_decision_points,action_0_count,action_1_count,action_2_count,action_3_count,epsilon,preparation_capacity,sorting_capacity,analysis1_capacity,analysis2_capacity,evaluation_capacity,dispatching_capacity,worker_capacity
0,312345,-608.0,23,0.007791541707110884,0.8218237301706276,0.029201073386881358,175.214912,758.004,0.9964726858297622,0.029201073386881358,,,,,,,312345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,487,271,171,100,0.36900369003690037,310.5047751418925,179.85314757132718,8.950989732365354,915.7892087748689,109.3254777929539,217,608.0,34,350,214,117,17,2,0.029201073386881358,1,1,1,1,1,1,1
1,313345,-287.0,23,0.007791541707110884,0.8218237301706276,0.029201073386881358,175.214912,758.004,0.9964726858297622,0.029201073386881358,,,,,,,313345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,562,280,159,121,0.43214285714285716,334.8878264420991,195.97200123490234,17.187548032176835,1099.385269976235,135.416784777984,282,287.0,31,357,252,101,1,3,0.029201073386881358,1,1,1,1,1,1,1
2,314345,113.0,23,0.007791541707110884,0.8218237301706276,0.029201073386881358,175.214912,758.004,0.9964726858297622,0.029201073386881358,,,,,,,314345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,561,276,137,139,0.5036231884057971,365.9234474692388,218.90767613169842,10.768648519648394,757.3597766994299,148.05837788147468,286,-113.0,31,359,247,97,7,8,0.029201073386881358,1,1,1,1,1,1,1
3,315345,-254.0,23,0.007791541707110884,0.8218237301706276,0.029201073386881358,175.214912,758.004,0.9964726858297622,0.029201073386881358,,,,,,,315345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,526,288,160,128,0.4444444444444444,329.9593742322734,197.23438737426008,11.067006805049784,655.977419011903,124.84367175576061,239,254.0,22,359,196,105,45,13,0.029201073386881358,1,1,1,1,1,1,1
4,316345,109.0,23,0.007791541707110884,0.8218237301706276,0.029201073386881358,175.214912,758.004,0.9964726858297622,0.029201073386881358,,,,,,,316345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,584,281,140,141,0.501779359430605,364.140752501238,215.55938210939263,18.396518633717015,1042.1894742525092,152.08948657422883,304,-109.0,33,357,196,75,70,16,0.029201073386881358,1,1,1,1,1,1,1
5,317345,-240.0,23,0.007791541707110884,0.8218237301706276,0.029201073386881358,175.214912,758.004,0.9964726858297622,0.029201073386881358,,,,,,,317345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,527,277,155,122,0.4404332129963899,335.4024451848153,199.09122853215447,10.790077922669727,1006.3665999381559,126.39784038075321,251,240.0,30,352,237,84,16,15,0.029201073386881358,1,1,1,1,1,1,1
6,318345,-7.0,23,0.007791541707110884,0.8218237301706276,0.029201073386881358,175.214912,758.004,0.9964726858297622,0.029201073386881358,,,,,,,318345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,552,282,146,136,0.48226950354609927,347.3333100003585,207.9850946737125,8.83969723567143,1120.7410213355092,130.76134924175673,271,7.0,31,360,233,104,17,6,0.029201073386881358,1,1,1,1,1,1,1
7,319345,-267.0,23,0.007791541707110884,0.8218237301706276,0.029201073386881358,175.214912,758.004,0.9964726858297622,0.029201073386881358,,,,,,,319345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,552,278,157,121,0.4352517985611511,340.83899971142574,198.3787470454721,11.613480675584368,983.7717102060137,132.63484639295993,274,267.0,31,357,256,96,5,0,0.029201073386881358,1,1,1,1,1,1,1
8,320345,283.0,23,0.007791541707110884,0.8218237301706276,0.029201073386881358,175.214912,758.004,0.9964726858297622,0.029201073386881358,,,,,,,320345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,567,283,132,151,0.5335689045936396,367.99216989969125,228.8929722854244,14.103620939431089,937.0841026705868,150.57266652830006,285,-283.0,31,358,132,121,77,28,0.029201073386881358,1,1,1,1,1,1,1
9,321345,16.0,23,0.007791541707110884,0.8218237301706276,0.029201073386881358,175.214912,758.004,0.9964726858297622,0.029201073386881358,,,,,,,321345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,572,276,142,134,0.4855072463768116,347.99154563855944,206.65795041296363,12.324706307787704,991.9676256944584,142.01650264372986,297,-16.0,32,354,41,95,212,6,0.029201073386881358,1,1,1,1,1,1,1
