experiment,group,metric,n,mean,standard_error,median,q1,q3,iqr,min,max
fixed758,Q-learning,total_reward,30,224.83333333333334,62.871280348982125,215.5,15.75,345.75,330.0,-329.0,1203.0
fixed758,Random agent,total_reward,30,105.5,58.61159412195886,48.5,-102.0,279.25,381.25,-509.0,1003.0
fixed758,Baseline: EDD,total_reward,30,27.5,55.91976497574474,42.5,-179.5,127.25,306.75,-589.0,943.0
fixed758,Baseline: FIFO,total_reward,30,109.5,51.57616285371222,58.5,-69.0,215.75,284.75,-469.0,763.0
fixed758,Baseline: Highest Lateness Risk,total_reward,30,362.8333333333333,58.2376637488765,380.5,144.75,487.25,342.5,-329.0,1203.0
fixed758,Baseline: Longest Waiting Time,total_reward,30,109.5,51.57616285371222,58.5,-69.0,215.75,284.75,-469.0,763.0
