experiment,group,metric,n,mean,standard_error,median,q1,q3,iqr,min,max
joint100,BO-tuned Q-learning,total_reward,30,356.8333333333333,58.27337641210979,348.5,158.0,501.75,343.75,-209.0,1183.0
joint100,Manual Q-learning,total_reward,30,81.5,58.72953299641512,46.5,-87.75,253.0,340.75,-589.0,963.0
