experiment,method,metric,n,mean,standard_error,median,q1,q3,iqr,min,max
default weights,bo,final_best_objective,20,-0.13408112783030696,0.01795573926243567,-0.1449828429053423,-0.17844272979733766,-0.08376242775028275,0.09468030204705491,-0.2699703844436957,0.0349596540197819
default weights,random_search,final_best_objective,20,-0.020445578050659587,0.041532768582661785,-0.0396257907937692,-0.1733825834362006,0.10081019351360433,0.27419277694980493,-0.2747756619971462,0.3576546387565674
changed weights,bo,final_best_objective,20,1.1662217885761799,0.034660388391877406,1.1358939354857194,1.074825343972236,1.1769251920937238,0.10209984812148787,1.0383937199690985,1.723230221873617
changed weights,random_search,final_best_objective,20,1.7893073945441575,0.032381199165128764,1.7752293313063774,1.6866604750259575,1.9199013478180385,0.23324087279208094,1.50132075205694,2.014775195247094
