stage,trial_index,alpha,gamma,epsilon_decay,epsilon_min,risk_t1,risk_window,objective_mean,objective_std,best_objective_so_far,total_reward_mean,total_reward_std,late_order_fraction_mean,n_valid_replications,best_training_reward,best_training_episode,best_training_seed,q_table_size
stage1_bo,0,0.24840857982635497,0.7594258129596709,0.9951314570248126,0.023754181638360024,-29.29695188999176,40.67402724176645,-65.5,329.24613474022635,-65.5,65.5,329.24613474022635,0.4726057392255628,30,1097.0,718,930345,24
stage1_bo,1,0.3220550875365734,0.8607261352241039,0.9855254992214962,0.17218870266340675,45.18554946407676,282.50871897675097,-72.16666666666667,320.35939767417614,-72.16666666666667,72.16666666666667,320.35939767417614,0.47147120439249,30,1003.0,126,338345,25
stage1_bo,2,0.46879510521888734,0.8330836376268417,0.9948559597533196,0.09198489381931722,94.69089651480317,269.9492330197245,-51.5,324.9736063553257,-72.16666666666667,51.5,324.9736063553257,0.4751650293326441,30,1049.0,385,597345,23
