replication,eval_seed,objective_value,q_table_size,alpha,gamma,target_final_epsilon,risk_t1,risk_window,epsilon_decay,epsilon_min,label,error,episode,baseline_rule,action_random_seed,best_total_reward_so_far,random_seed,run_duration,due_date_lower_bound,due_date_upper_bound,rate_multiplier,risk_t2,agent_type,training,fixed_action,msg,n_orders_created,n_orders_completed,n_orders_in_date,n_orders_late,late_order_fraction,time_in_system_mean,time_in_system_std,time_in_system_min,time_in_system_max,wip_mean,wip_max,total_reward,n_eval_failures,n_decision_points,action_0_count,action_1_count,action_2_count,action_3_count,epsilon,preparation_capacity,sorting_capacity,analysis1_capacity,analysis2_capacity,evaluation_capacity,dispatching_capacity,worker_capacity
0,312345,-608.0,24,0.014206773421471973,0.2549216997369373,0.004553973728994452,175.214912,758.004,0.994622754342492,0.004553973728994452,,,,,,,312345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,487,271,171,100,0.36900369003690037,310.5047751418925,180.01027189354724,8.950989732365354,915.7892087748689,109.3254777929539,217,608.0,34,350,235,107,8,0,0.004553973728994696,1,1,1,1,1,1,1
1,313345,-287.0,24,0.014206773421471973,0.2549216997369373,0.004553973728994452,175.214912,758.004,0.994622754342492,0.004553973728994452,,,,,,,313345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,562,280,159,121,0.43214285714285716,334.8878264420991,195.91166123309083,17.187548032176835,1099.385269976235,135.416784777984,282,287.0,31,357,266,80,1,10,0.004553973728994696,1,1,1,1,1,1,1
2,314345,113.0,24,0.014206773421471973,0.2549216997369373,0.004553973728994452,175.214912,758.004,0.994622754342492,0.004553973728994452,,,,,,,314345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,561,276,137,139,0.5036231884057971,365.6181235750872,219.4057023039822,12.633594345573625,759.4324782228713,148.05837788147468,286,-113.0,31,359,248,85,12,14,0.004553973728994696,1,1,1,1,1,1,1
3,315345,-114.0,24,0.014206773421471973,0.2549216997369373,0.004553973728994452,175.214912,758.004,0.994622754342492,0.004553973728994452,,,,,,,315345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,526,288,153,135,0.46875,329.70666819134874,197.48705738069324,11.067006805049784,655.977419011903,124.84367175576061,239,114.0,22,359,266,84,7,2,0.004553973728994696,1,1,1,1,1,1,1
4,316345,69.0,24,0.014206773421471973,0.2549216997369373,0.004553973728994452,175.214912,758.004,0.994622754342492,0.004553973728994452,,,,,,,316345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,584,281,142,139,0.49466192170818507,361.5152230382338,210.11516760482857,18.396518633717015,1076.0385424784645,152.08948657422883,304,-69.0,33,357,347,1,5,4,0.004553973728994696,1,1,1,1,1,1,1
5,317345,-40.0,24,0.014206773421471973,0.2549216997369373,0.004553973728994452,175.214912,758.004,0.994622754342492,0.004553973728994452,,,,,,,317345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,527,277,145,132,0.47653429602888087,334.51461886503193,195.0440344424093,10.790077922669727,1026.4011990726003,126.39784038075321,251,40.0,30,352,341,2,1,8,0.004553973728994696,1,1,1,1,1,1,1
6,318345,33.0,24,0.014206773421471973,0.2549216997369373,0.004553973728994452,175.214912,758.004,0.994622754342492,0.004553973728994452,,,,,,,318345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,552,282,144,138,0.48936170212765956,347.8153650193109,203.64087027214643,8.83969723567143,1093.7368003308864,130.76134924175673,271,-33.0,31,360,322,6,22,10,0.004553973728994696,1,1,1,1,1,1,1
7,319345,-347.0,24,0.014206773421471973,0.2549216997369373,0.004553973728994452,175.214912,758.004,0.994622754342492,0.004553973728994452,,,,,,,319345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,552,278,161,117,0.420863309352518,340.83899971142574,200.92886454734204,11.613480675584368,983.7717102060137,132.63484639295993,274,347.0,31,357,210,117,15,15,0.004553973728994696,1,1,1,1,1,1,1
8,320345,283.0,24,0.014206773421471973,0.2549216997369373,0.004553973728994452,175.214912,758.004,0.994622754342492,0.004553973728994452,,,,,,,320345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,567,283,132,151,0.5335689045936396,363.0831209860563,222.59706175080584,14.103620939431089,963.9561495141293,150.57266652830006,285,-283.0,31,358,169,102,44,43,0.004553973728994696,1,1,1,1,1,1,1
9,321345,16.0,24,0.014206773421471973,0.2549216997369373,0.004553973728994452,175.214912,758.004,0.994622754342492,0.004553973728994452,,,,,,,321345,1440.0,4,8,0.9,933.218912,q_learning,False,,simulation ended,572,276,142,134,0.4855072463768116,346.51410173013454,204.81424657818482,12.324706307787704,991.9676256944584,142.01650264372986,297,-16.0,32,354,3,89,245,17,0.004553973728994696,1,1,1,1,1,1,1
