replication,eval_seed,objective_value,q_table_size,alpha,gamma,epsilon_decay,epsilon_min,risk_t1,risk_window,label,error,episode,baseline_rule,action_random_seed,best_total_reward_so_far,random_seed,run_duration,due_date_lower_bound,due_date_upper_bound,rate_multiplier,risk_t2,agent_type,training,fixed_action,msg,n_orders_created,n_orders_completed,n_orders_in_date,n_orders_late,late_order_fraction,time_in_system_mean,time_in_system_std,time_in_system_min,time_in_system_max,wip_mean,wip_max,total_reward,n_eval_failures,n_decision_points,action_0_count,action_1_count,action_2_count,action_3_count,epsilon,preparation_capacity,sorting_capacity,analysis1_capacity,analysis2_capacity,evaluation_capacity,dispatching_capacity,worker_capacity
0,312345,-448.0,23,0.02,0.7,0.99995,0.1,120.0,360.0,,,,,,,312345,1440.0,4,8,0.9,480.0,q_learning,False,,simulation ended,487,271,163,108,0.3985239852398524,310.61873138414427,183.2871667656646,8.950989732365354,858.2987919396725,109.3254777929539,217,448.0,34,350,28,66,19,237,0.9512282354250445,1,1,1,1,1,1,1
1,313345,-167.0,23,0.02,0.7,0.99995,0.1,120.0,360.0,,,,,,,313345,1440.0,4,8,0.9,480.0,q_learning,False,,simulation ended,562,280,153,127,0.45357142857142857,337.0140432688113,207.2694426026968,17.187548032176835,1145.1417759709816,135.416784777984,282,167.0,31,357,20,101,24,212,0.9512282354250445,1,1,1,1,1,1,1
2,314345,113.0,23,0.02,0.7,0.99995,0.1,120.0,360.0,,,,,,,314345,1440.0,4,8,0.9,480.0,q_learning,False,,simulation ended,561,276,137,139,0.5036231884057971,369.98730741293065,227.1003386450211,12.633594345573625,969.8829722241728,148.05837788147468,286,-113.0,31,359,205,56,21,77,0.9512282354250445,1,1,1,1,1,1,1
3,315345,-294.0,23,0.02,0.7,0.99995,0.1,120.0,360.0,,,,,,,315345,1440.0,4,8,0.9,480.0,q_learning,False,,simulation ended,526,288,162,126,0.4375,330.37623517820896,201.9741111569359,11.067006805049784,899.9164995986383,124.84367175576061,239,294.0,22,359,81,67,184,27,0.9512282354250445,1,1,1,1,1,1,1
4,316345,69.0,23,0.02,0.7,0.99995,0.1,120.0,360.0,,,,,,,316345,1440.0,4,8,0.9,480.0,q_learning,False,,simulation ended,584,281,142,139,0.49466192170818507,364.37768718442385,218.21665333039888,18.396518633717015,1083.8385045706832,152.08948657422883,304,-69.0,33,357,171,81,42,63,0.9512282354250445,1,1,1,1,1,1,1
5,317345,-240.0,23,0.02,0.7,0.99995,0.1,120.0,360.0,,,,,,,317345,1440.0,4,8,0.9,480.0,q_learning,False,,simulation ended,527,277,155,122,0.4404332129963899,335.4024451848153,198.93180878900114,10.790077922669727,1006.3665999381559,126.39784038075321,251,240.0,30,352,208,75,65,4,0.9512282354250445,1,1,1,1,1,1,1
6,318345,-27.0,23,0.02,0.7,0.99995,0.1,120.0,360.0,,,,,,,318345,1440.0,4,8,0.9,480.0,q_learning,False,,simulation ended,552,282,147,135,0.4787234042553192,347.3545749849493,208.61885407754247,8.83969723567143,1120.7410213355092,130.76134924175673,271,27.0,31,360,206,102,21,31,0.9512282354250445,1,1,1,1,1,1,1
7,319345,-187.0,23,0.02,0.7,0.99995,0.1,120.0,360.0,,,,,,,319345,1440.0,4,8,0.9,480.0,q_learning,False,,simulation ended,552,278,153,125,0.44964028776978415,340.77200870965925,196.7091013769135,11.613480675584368,966.8121818100466,132.63484639295993,274,187.0,31,357,202,59,61,35,0.9512282354250445,1,1,1,1,1,1,1
8,320345,-37.0,23,0.02,0.7,0.99995,0.1,120.0,360.0,,,,,,,320345,1440.0,4,8,0.9,480.0,q_learning,False,,simulation ended,567,283,148,135,0.47703180212014135,364.3500428254408,236.10780526149267,14.103620939431089,1125.8781524670912,150.57266652830006,285,37.0,31,358,239,24,43,52,0.9512282354250445,1,1,1,1,1,1,1
9,321345,136.0,23,0.02,0.7,0.99995,0.1,120.0,360.0,,,,,,,321345,1440.0,4,8,0.9,480.0,q_learning,False,,simulation ended,572,276,136,140,0.5072463768115942,353.6955659335826,214.7743374110363,12.324706307787704,881.0134353766297,142.01650264372986,297,-136.0,32,354,40,184,66,64,0.9512282354250445,1,1,1,1,1,1,1
