replication,eval_seed,objective_value,q_table_size,alpha,gamma,epsilon_decay,epsilon_min,risk_t1,risk_window,label,error,episode,baseline_rule,action_random_seed,best_total_reward_so_far,random_seed,run_duration,due_date_lower_bound,due_date_upper_bound,rate_multiplier,risk_t2,agent_type,training,fixed_action,msg,n_orders_created,n_orders_completed,n_orders_in_date,n_orders_late,late_order_fraction,time_in_system_mean,time_in_system_std,time_in_system_min,time_in_system_max,wip_mean,wip_max,total_reward,n_eval_failures,n_decision_points,action_0_count,action_1_count,action_2_count,action_3_count,epsilon,preparation_capacity,sorting_capacity,analysis1_capacity,analysis2_capacity,evaluation_capacity,dispatching_capacity,worker_capacity
0,312345,-428.0,23,0.02659046471118927,0.8684049604833126,0.9999353791741189,0.09307435586117209,84.98545629903674,64.91975488141179,,,,,,,312345,1440.0,4,8,0.9,149.90521118044853,q_learning,False,,simulation ended,487,271,162,109,0.4022140221402214,311.8833814743458,180.32800741724404,8.950989732365354,823.7931040553199,109.3254777929539,217,428.0,34,350,105,37,19,189,0.9374208851267962,1,1,1,1,1,1,1
1,313345,-67.0,23,0.02659046471118927,0.8684049604833126,0.9999353791741189,0.09307435586117209,84.98545629903674,64.91975488141179,,,,,,,313345,1440.0,4,8,0.9,149.90521118044853,q_learning,False,,simulation ended,562,280,148,132,0.4714285714285714,341.50195259671517,202.81757116938556,17.187548032176835,836.3742232147487,135.416784777984,282,67.0,31,357,40,141,36,140,0.9374208851267962,1,1,1,1,1,1,1
2,314345,213.0,23,0.02659046471118927,0.8684049604833126,0.9999353791741189,0.09307435586117209,84.98545629903674,64.91975488141179,,,,,,,314345,1440.0,4,8,0.9,149.90521118044853,q_learning,False,,simulation ended,561,276,132,144,0.5217391304347826,376.5272882466567,236.38099710022803,12.633594345573625,890.1958522836642,148.05837788147468,286,-213.0,31,359,20,160,37,142,0.9374208851267962,1,1,1,1,1,1,1
3,315345,-194.0,23,0.02659046471118927,0.8684049604833126,0.9999353791741189,0.09307435586117209,84.98545629903674,64.91975488141179,,,,,,,315345,1440.0,4,8,0.9,149.90521118044853,q_learning,False,,simulation ended,526,288,157,131,0.4548611111111111,331.51292092113295,198.36795849269222,11.067006805049784,658.190377786126,124.84367175576061,239,194.0,22,359,84,66,38,171,0.9374208851267962,1,1,1,1,1,1,1
4,316345,289.0,23,0.02659046471118927,0.8684049604833126,0.9999353791741189,0.09307435586117209,84.98545629903674,64.91975488141179,,,,,,,316345,1440.0,4,8,0.9,149.90521118044853,q_learning,False,,simulation ended,584,281,131,150,0.5338078291814946,375.78282631961844,228.37739690164196,18.396518633717015,1100.7665666226492,152.08948657422883,304,-289.0,33,357,59,83,113,102,0.9374208851267962,1,1,1,1,1,1,1
5,317345,-180.0,23,0.02659046471118927,0.8684049604833126,0.9999353791741189,0.09307435586117209,84.98545629903674,64.91975488141179,,,,,,,317345,1440.0,4,8,0.9,149.90521118044853,q_learning,False,,simulation ended,527,277,152,125,0.45126353790613716,335.4024451848153,198.20791095762857,10.790077922669727,1011.1762734578842,126.39784038075321,251,180.0,30,352,51,10,213,78,0.9374208851267962,1,1,1,1,1,1,1
6,318345,-27.0,23,0.02659046471118927,0.8684049604833126,0.9999353791741189,0.09307435586117209,84.98545629903674,64.91975488141179,,,,,,,318345,1440.0,4,8,0.9,149.90521118044853,q_learning,False,,simulation ended,552,282,147,135,0.4787234042553192,349.3804923553325,211.27899550775092,8.83969723567143,1120.7410213355092,130.76134924175673,271,27.0,31,360,40,118,194,8,0.9374208851267962,1,1,1,1,1,1,1
7,319345,-187.0,23,0.02659046471118927,0.8684049604833126,0.9999353791741189,0.09307435586117209,84.98545629903674,64.91975488141179,,,,,,,319345,1440.0,4,8,0.9,149.90521118044853,q_learning,False,,simulation ended,552,278,153,125,0.44964028776978415,340.4291053613333,201.7618767268406,11.613480675584368,983.7717102060137,132.63484639295993,274,187.0,31,357,36,119,20,182,0.9374208851267962,1,1,1,1,1,1,1
8,320345,123.0,23,0.02659046471118927,0.8684049604833126,0.9999353791741189,0.09307435586117209,84.98545629903674,64.91975488141179,,,,,,,320345,1440.0,4,8,0.9,149.90521118044853,q_learning,False,,simulation ended,567,283,140,143,0.5053003533568905,366.8422717466421,227.56773655297442,14.103620939431089,948.1803406971605,150.57266652830006,285,-123.0,31,358,65,95,188,10,0.9374208851267962,1,1,1,1,1,1,1
9,321345,36.0,23,0.02659046471118927,0.8684049604833126,0.9999353791741189,0.09307435586117209,84.98545629903674,64.91975488141179,,,,,,,321345,1440.0,4,8,0.9,149.90521118044853,q_learning,False,,simulation ended,572,276,141,135,0.4891304347826087,347.9915456385594,206.80299913332058,12.324706307787704,991.9676256944584,142.01650264372986,297,-36.0,32,354,24,88,230,12,0.9374208851267962,1,1,1,1,1,1,1
