replication,eval_seed,objective_value,q_table_size,alpha,gamma,target_final_epsilon,risk_t1,risk_window,epsilon_decay,epsilon_min,label,error,episode,baseline_rule,action_random_seed,best_total_reward_so_far,random_seed,run_duration,due_date_lower_bound,due_date_upper_bound,rate_multiplier,risk_t2,agent_type,training,fixed_action,msg,n_orders_created,n_orders_completed,n_orders_in_date,n_orders_late,late_order_fraction,time_in_system_mean,time_in_system_std,time_in_system_min,time_in_system_max,wip_mean,wip_max,total_reward,n_eval_failures,n_decision_points,action_0_count,action_1_count,action_2_count,action_3_count,epsilon,preparation_capacity,sorting_capacity,analysis1_capacity,analysis2_capacity,evaluation_capacity,dispatching_capacity,worker_capacity
0,312345,-688.0,23,0.4121757835615426,0.7238431366253644,0.22219116773921996,153.23397271335125,1354.6165191661566,0.9984969136158603,0.22219116773921996,,,,,,,312345,1440.0,4,8,0.9,1507.850491879508,q_learning,False,,simulation ended,487,271,175,96,0.35424354243542433,316.36832135143965,193.2376174606102,8.950989732365354,1031.4482343090217,109.3254777929539,217,688.0,34,350,42,77,142,89,0.22219116773922756,1,1,1,1,1,1,1
1,313345,33.0,23,0.4121757835615426,0.7238431366253644,0.22219116773921996,153.23397271335125,1354.6165191661566,0.9984969136158603,0.22219116773921996,,,,,,,313345,1440.0,4,8,0.9,1507.850491879508,q_learning,False,,simulation ended,562,280,143,137,0.48928571428571427,339.92201688454503,194.67561706022462,17.187548032176835,696.1311275042672,135.416784777984,282,-33.0,31,357,29,100,218,10,0.22219116773922756,1,1,1,1,1,1,1
2,314345,-7.0,23,0.4121757835615426,0.7238431366253644,0.22219116773921996,153.23397271335125,1354.6165191661566,0.9984969136158603,0.22219116773921996,,,,,,,314345,1440.0,4,8,0.9,1507.850491879508,q_learning,False,,simulation ended,561,276,143,133,0.48188405797101447,365.6084420208846,217.83721274589652,12.633594345573625,777.0849836028766,148.05837788147468,286,7.0,31,359,91,75,175,18,0.22219116773922756,1,1,1,1,1,1,1
3,315345,-134.0,23,0.4121757835615426,0.7238431366253644,0.22219116773921996,153.23397271335125,1354.6165191661566,0.9984969136158603,0.22219116773921996,,,,,,,315345,1440.0,4,8,0.9,1507.850491879508,q_learning,False,,simulation ended,526,288,154,134,0.4652777777777778,333.24793745175236,202.03569885680818,11.067006805049784,773.0883273584673,124.84367175576061,239,134.0,22,359,101,166,20,72,0.22219116773922756,1,1,1,1,1,1,1
4,316345,89.0,23,0.4121757835615426,0.7238431366253644,0.22219116773921996,153.23397271335125,1354.6165191661566,0.9984969136158603,0.22219116773921996,,,,,,,316345,1440.0,4,8,0.9,1507.850491879508,q_learning,False,,simulation ended,584,281,141,140,0.498220640569395,361.2564026123435,214.00664962515955,18.396518633717015,1039.6574062749069,152.08948657422883,304,-89.0,33,357,45,70,135,107,0.22219116773922756,1,1,1,1,1,1,1
5,317345,-220.0,23,0.4121757835615426,0.7238431366253644,0.22219116773921996,153.23397271335125,1354.6165191661566,0.9984969136158603,0.22219116773921996,,,,,,,317345,1440.0,4,8,0.9,1507.850491879508,q_learning,False,,simulation ended,527,277,154,123,0.44404332129963897,335.40244518481524,203.42988267486606,10.790077922669727,1006.3665999381559,126.39784038075321,251,220.0,30,352,10,106,212,24,0.22219116773922756,1,1,1,1,1,1,1
6,318345,-47.0,23,0.4121757835615426,0.7238431366253644,0.22219116773921996,153.23397271335125,1354.6165191661566,0.9984969136158603,0.22219116773921996,,,,,,,318345,1440.0,4,8,0.9,1507.850491879508,q_learning,False,,simulation ended,552,282,148,134,0.475177304964539,347.33331000035844,208.84905705952895,8.83969723567143,1120.7410213355092,130.76134924175673,271,47.0,31,360,17,96,192,55,0.22219116773922756,1,1,1,1,1,1,1
7,319345,-347.0,23,0.4121757835615426,0.7238431366253644,0.22219116773921996,153.23397271335125,1354.6165191661566,0.9984969136158603,0.22219116773921996,,,,,,,319345,1440.0,4,8,0.9,1507.850491879508,q_learning,False,,simulation ended,552,278,161,117,0.420863309352518,340.2205302312603,199.3433961921063,11.613480675584368,983.7717102060137,132.63484639295993,274,347.0,31,357,23,114,26,194,0.22219116773922756,1,1,1,1,1,1,1
8,320345,283.0,23,0.4121757835615426,0.7238431366253644,0.22219116773921996,153.23397271335125,1354.6165191661566,0.9984969136158603,0.22219116773921996,,,,,,,320345,1440.0,4,8,0.9,1507.850491879508,q_learning,False,,simulation ended,567,283,132,151,0.5335689045936396,363.0897337051417,221.5363125582279,14.103620939431089,906.6464198022366,150.57266652830006,285,-283.0,31,358,128,84,53,93,0.22219116773922756,1,1,1,1,1,1,1
9,321345,-24.0,23,0.4121757835615426,0.7238431366253644,0.22219116773921996,153.23397271335125,1354.6165191661566,0.9984969136158603,0.22219116773921996,,,,,,,321345,1440.0,4,8,0.9,1507.850491879508,q_learning,False,,simulation ended,572,276,144,132,0.4782608695652174,346.71214292486076,204.7845313828108,12.324706307787704,948.1399454287478,142.01650264372986,297,24.0,32,354,218,15,117,4,0.22219116773922756,1,1,1,1,1,1,1
